sleep_id,sleep_type,minutes_in_sleep_period,minutes_after_wake_up,minutes_to_fall_asleep,minutes_asleep,minutes_awake,minutes_longest_awakening,minutes_to_persistent_sleep,start_utc_offset,sleep_start,end_utc_offset,sleep_end,data_source,sleep_created,sleep_last_updated
1078895629782362760,STAGES,581,0,0,524,57,0,0,+07:00,2025-08-30 23:37:30+0000,+07:00,2025-08-31 09:18:30+0000,DERIVED,2025-08-31 02:23:52+0000,2025-08-31 02:23:52+0000
1198993347621858816,STAGES,231,0,0,190,41,0,0,+07:00,2025-07-26 02:48:30+0000,+07:00,2025-07-26 06:39:30+0000,DERIVED,2025-07-26 00:02:15+0000,2025-07-26 00:02:15+0000
1448653082653645608,STAGES,467,0,0,402,64,0,0,+07:00,2025-08-11 21:57:30+0000,+07:00,2025-08-12 05:44:30+0000,DERIVED,2025-08-11 23:08:22+0000,2025-08-11 23:08:23+0000
1487882276884082144,STAGES,381,0,0,290,90,0,0,+07:00,2025-08-03 00:36:00+0000,+07:00,2025-08-03 06:57:00+0000,DERIVED,2025-08-03 00:20:51+0000,2025-08-03 00:20:51+0000
1608397029405335560,STAGES,446,0,0,357,89,0,0,+07:00,2025-07-16 21:40:30+0000,+07:00,2025-07-17 05:07:00+0000,DERIVED,2025-07-16 19:29:00+0000,2025-07-16 22:29:18+0000
1642026180053328304,CLASSIC,177,0,0,177,0,0,0,+07:00,2025-08-17 21:24:30+0000,+07:00,2025-08-18 00:21:30+0000,DERIVED,2025-08-17 23:08:10+0000,2025-08-17 23:08:10+0000
1805030931349112488,STAGES,496,0,0,420,75,0,0,+07:00,2025-07-23 20:05:30+0000,+07:00,2025-07-24 04:21:30+0000,DERIVED,2025-07-23 21:59:14+0000,2025-07-23 21:59:15+0000
1930494179815131456,STAGES,392,0,0,355,37,0,0,+07:00,2025-08-27 02:07:00+0000,+07:00,2025-08-27 08:39:30+0000,DERIVED,2025-08-27 01:32:08+0000,2025-08-27 01:44:34+0000
1944630734807328736,STAGES,342,0,0,213,129,0,0,+07:00,2025-07-31 01:47:30+0000,+07:00,2025-07-31 07:30:00+0000,DERIVED,2025-08-01 11:48:11+0000,2025-08-01 11:48:12+0000
2013710412732429040,CLASSIC,70,0,0,70,0,0,0,+07:00,2025-08-05 06:30:30+0000,+07:00,2025-08-05 07:40:30+0000,DERIVED,2025-08-05 00:45:23+0000,2025-08-05 00:45:24+0000
