timestamp,rmssd,coverage,low_frequency,high_frequency
2025-08-15T00:00:00,21.873,1.001,149.884,101.56
2025-08-15T00:05:00,22.984,1.002,267.61,90.989
2025-08-15T00:10:00,22.043,0.998,258.239,96.881
2025-08-15T00:15:00,18.439,1.003,109.034,73.57
2025-08-15T00:20:00,15.852,1.001,112.095,61.168
2025-08-15T00:25:00,20.259,0.996,130.682,84.12
2025-08-15T00:30:00,29.855,1.004,246.471,165.133
2025-08-15T00:35:00,31.906,1.004,653.991,146.68
2025-08-15T00:40:00,24.618,1.001,116.078,97.091
2025-08-15T00:45:00,25.938,1.001,71.32,105.919
2025-08-15T00:50:00,26.951,0.99,87.824,169.24
2025-08-15T00:55:00,32.504,1.0,76.764,269.649
2025-08-15T01:00:00,38.488,1.006,103.133,308.728
2025-08-15T01:05:00,45.06,1.002,120.203,359.155
2025-08-15T01:10:00,39.79,0.895,574.429,275.363
2025-08-15T01:15:00,44.995,0.998,264.375,444.419
2025-08-15T01:20:00,49.368,0.984,89.608,529.225
2025-08-15T01:25:00,41.29,1.0,139.141,495.235
2025-08-15T01:30:00,38.29,1.005,89.588,203.815
2025-08-15T01:35:00,49.767,1.0,89.435,591.911
2025-08-15T01:40:00,44.678,0.979,378.321,327.324
2025-08-15T01:45:00,48.666,1.005,119.316,541.6
2025-08-15T01:50:00,38.749,1.005,146.939,329.422
2025-08-15T01:55:00,37.837,1.0,798.067,279.46
2025-08-15T02:00:00,22.483,0.986,515.102,96.777
2025-08-15T02:05:00,24.921,1.005,116.259,157.913
2025-08-15T02:10:00,30.459,1.001,148.188,164.148
2025-08-15T02:15:00,31.781,1.004,267.233,200.433
2025-08-15T02:20:00,30.807,1.002,149.72,137.676
2025-08-15T02:25:00,35.646,0.999,243.603,344.651
2025-08-15T02:30:00,30.211,0.971,318.947,169.819
2025-08-15T02:35:00,39.489,0.96,133.984,382.406
2025-08-15T02:40:00,35.137,0.998,219.646,261.422
2025-08-15T02:45:00,31.868,1.006,178.207,174.631
2025-08-15T02:50:00,40.584,1.001,76.489,380.607
2025-08-15T02:55:00,51.799,1.001,51.04,641.597
2025-08-15T03:00:00,39.091,0.893,131.6,363.46
2025-08-15T03:10:00,19.455,0.925,79.971,69.806
2025-08-15T03:15:00,24.307,0.891,158.774,80.386
2025-08-15T03:20:00,22.09,1.003,80.498,88.786
2025-08-15T03:25:00,22.397,1.002,40.857,85.36
2025-08-15T03:30:00,23.106,1.006,78.208,94.277
2025-08-15T03:35:00,21.314,1.003,29.192,93.721
2025-08-15T03:40:00,23.667,0.999,67.458,114.587
2025-08-15T03:45:00,23.867,1.004,141.655,119.113
2025-08-15T03:50:00,24.9,0.891,109.149,134.036
2025-08-15T04:00:00,38.035,0.717,84.483,123.825
2025-08-15T04:05:00,31.663,0.903,528.447,189.053
2025-08-15T04:10:00,36.642,1.003,136.063,332.033
2025-08-15T04:15:00,40.954,1.005,81.836,391.958
2025-08-15T04:20:00,40.93,1.001,108.093,391.229
2025-08-15T04:25:00,30.516,0.997,96.327,176.495
2025-08-15T04:30:00,24.971,0.997,204.839,157.304
2025-08-15T04:35:00,23.238,1.005,63.655,99.182
2025-08-15T04:40:00,29.504,0.994,61.228,168.797
2025-08-15T04:45:00,15.699,0.869,67.862,58.087
2025-08-15T04:50:00,17.585,0.991,96.567,80.843
2025-08-15T04:55:00,26.846,0.998,90.133,167.176
2025-08-15T05:00:00,28.284,0.996,76.97,234.811
2025-08-15T05:05:00,28.825,1.001,74.708,280.535
2025-08-15T05:10:00,26.422,1.005,97.981,224.798
2025-08-15T05:15:00,27.553,0.996,44.939,250.822
2025-08-15T05:20:00,25.194,1.0,95.867,176.644
2025-08-15T05:25:00,25.119,1.002,91.24,179.219
2025-08-15T05:30:00,15.44,0.965,99.871,49.657
2025-08-15T05:35:00,17.652,0.966,211.353,57.611
2025-08-15T05:40:00,16.808,1.002,144.574,56.868
2025-08-15T05:45:00,18.724,0.985,58.391,45.148
2025-08-15T05:50:00,23.613,0.817,146.563,170.662
2025-08-15T05:55:00,17.494,1.005,119.792,67.473
2025-08-15T22:10:00,21.402,0.938,145.774,99.616
2025-08-15T22:15:00,20.534,1.003,226.825,115.351
2025-08-15T22:20:00,19.718,1.003,732.339,88.308
2025-08-15T22:25:00,22.176,0.993,201.62,138.693
2025-08-15T22:30:00,25.849,1.002,505.423,153.687
2025-08-15T22:35:00,20.668,0.996,144.821,103.512
2025-08-15T22:40:00,30.229,1.005,339.786,263.368
2025-08-15T22:45:00,29.163,1.002,42.939,213.43
2025-08-15T22:50:00,27.461,1.002,48.673,194.266
2025-08-15T22:55:00,21.004,0.948,83.815,78.924
2025-08-15T23:00:00,24.081,0.965,211.204,149.046
2025-08-15T23:05:00,23.604,0.995,53.145,162.143
2025-08-15T23:10:00,23.516,0.977,178.681,153.325
2025-08-15T23:15:00,23.505,0.998,69.479,131.095
2025-08-15T23:20:00,23.994,0.996,56.419,119.766
2025-08-15T23:25:00,24.941,0.993,80.876,160.665
2025-08-15T23:30:00,25.65,1.006,83.836,192.512
2025-08-15T23:35:00,23.728,1.002,36.449,148.863
2025-08-15T23:40:00,21.303,1.002,54.641,112.448
2025-08-15T23:45:00,32.147,1.0,118.525,320.15
2025-08-15T23:50:00,35.92,0.999,97.631,366.335
2025-08-15T23:55:00,36.541,0.996,108.05,384.034
