timestamp,average_value,lower_bound,upper_bound
2025-07-14T00:00:00Z,94.9,92.1,100.0
2025-07-15T00:00:00Z,94.8,92.0,97.7
2025-07-16T00:00:00Z,94.1,93.1,94.8
2025-07-17T00:00:00Z,93.3,90.2,96.0
2025-07-18T00:00:00Z,93.7,89.9,97.1
2025-07-19T00:00:00Z,96.2,91.8,99.5
2025-07-20T00:00:00Z,94.2,90.5,96.2
2025-07-26T00:00:00Z,93.1,90.5,95.0
2025-07-28T00:00:00Z,96.2,92.7,100.0
2025-07-29T00:00:00Z,94.1,91.1,96.3
2025-08-02T00:00:00Z,96.4,94.1,98.2
2025-08-03T00:00:00Z,93.6,93.4,95.1
2025-08-04T00:00:00Z,95.1,92.8,97.6
2025-08-06T00:00:00Z,95.6,94.2,96.9
2025-08-10T00:00:00Z,91.0,88.3,94.0
2025-08-11T00:00:00Z,88.5,86.4,90.9
2025-08-12T00:00:00Z,95.3,95.1,95.8
2025-08-13T00:00:00Z,93.1,88.1,97.8
2025-08-14T00:00:00Z,94.5,91.4,99.8
2025-08-15T00:00:00Z,95.6,91.5,98.1
2025-08-19T00:00:00Z,93.5,92.5,95.8
2025-08-20T00:00:00Z,92.8,86.8,97.8
2025-08-21T00:00:00Z,94.6,92.3,98.4
2025-08-22T00:00:00Z,93.7,88.8,100.0
2025-08-23T00:00:00Z,95.4,93.8,97.8
2025-08-24T00:00:00Z,95.2,92.7,97.9
2025-08-27T00:00:00Z,97.3,96.0,100.0
2025-08-28T00:00:00Z,94.1,94.1,94.1
