timestamp,heart rate zone,total minutes,data source
2025-07-14T13:30:00Z,FAT_BURN,1,Sense 2
2025-07-26T02:58:00Z,FAT_BURN,1,Sense 2
2025-07-26T03:02:00Z,FAT_BURN,1,Sense 2
2025-07-26T12:43:00Z,FAT_BURN,1,Sense 2
2025-07-27T01:49:00Z,FAT_BURN,1,Sense 2
2025-07-27T01:50:00Z,FAT_BURN,1,Sense 2
2025-07-27T01:51:00Z,FAT_BURN,1,Sense 2
2025-07-27T01:52:00Z,FAT_BURN,1,Sense 2
2025-07-27T01:53:00Z,FAT_BURN,1,Sense 2
2025-07-27T01:54:00Z,FAT_BURN,1,Sense 2
2025-07-27T01:57:00Z,FAT_BURN,1,Sense 2
2025-07-27T01:58:00Z,FAT_BURN,1,Sense 2
2025-07-27T01:59:00Z,FAT_BURN,1,Sense 2
2025-07-27T02:00:00Z,FAT_BURN,1,Sense 2
2025-07-27T02:01:00Z,FAT_BURN,1,Sense 2
2025-07-27T02:02:00Z,FAT_BURN,1,Sense 2
2025-07-27T07:06:00Z,FAT_BURN,1,Sense 2
2025-07-27T07:07:00Z,FAT_BURN,1,Sense 2
2025-07-27T12:21:00Z,FAT_BURN,1,Sense 2
2025-07-28T02:50:00Z,FAT_BURN,1,Sense 2
2025-07-28T13:43:00Z,FAT_BURN,1,Sense 2
2025-07-28T13:44:00Z,FAT_BURN,1,Sense 2
2025-07-28T17:13:00Z,FAT_BURN,1,Sense 2
2025-07-29T01:38:00Z,FAT_BURN,1,Sense 2
2025-07-29T02:01:00Z,FAT_BURN,1,Sense 2
2025-07-29T02:02:00Z,FAT_BURN,1,Sense 2
2025-07-29T02:10:00Z,FAT_BURN,1,Sense 2
2025-07-29T03:21:00Z,FAT_BURN,1,Sense 2
2025-07-29T03:22:00Z,FAT_BURN,1,Sense 2
2025-07-30T01:32:00Z,FAT_BURN,1,Sense 2
2025-07-30T05:39:00Z,FAT_BURN,1,Sense 2
2025-07-30T18:59:00Z,CARDIO,2,Sense 2
2025-07-30T19:00:00Z,CARDIO,2,Sense 2
2025-07-30T19:01:00Z,CARDIO,2,Sense 2
2025-07-30T19:02:00Z,CARDIO,2,Sense 2
2025-07-30T19:03:00Z,CARDIO,2,Sense 2
2025-07-30T19:04:00Z,CARDIO,2,Sense 2
