timestamp,level,data source
2025-09-01T00:08:00Z,SEDENTARY,Fitbit App
2025-09-01T00:23:00Z,SEDENTARY,Fitbit App
2025-09-01T00:53:00Z,SEDENTARY,Fitbit App
2025-09-01T00:56:00Z,SEDENTARY,Fitbit App
2025-09-01T01:00:00Z,SEDENTARY,Fitbit App
2025-09-01T01:03:00Z,SEDENTARY,Fitbit App
2025-09-01T01:15:00Z,SEDENTARY,Fitbit App
2025-09-01T01:16:00Z,SEDENTARY,Fitbit App
2025-09-01T01:17:00Z,SEDENTARY,Fitbit App
2025-09-01T01:24:00Z,SEDENTARY,Fitbit App
2025-09-01T01:26:00Z,SEDENTARY,Fitbit App
2025-09-01T01:27:00Z,SEDENTARY,Fitbit App
