timestamp,temperature celsius,data source
2025-07-14T12:27:00Z,33.4,Sense 2
2025-07-14T12:28:00Z,33.4,Sense 2
2025-07-14T12:29:00Z,33.4,Sense 2
2025-07-14T12:30:00Z,33.4,Sense 2
2025-07-14T12:31:00Z,33.3,Sense 2
2025-07-14T12:32:00Z,33.2,Sense 2
2025-07-14T12:33:00Z,33.0,Sense 2
2025-07-14T12:34:00Z,32.8,Sense 2
2025-07-14T12:35:00Z,32.8,Sense 2
2025-07-14T12:36:00Z,32.8,Sense 2
2025-07-14T12:37:00Z,32.8,Sense 2
2025-07-14T12:38:00Z,32.8,Sense 2
2025-07-14T12:39:00Z,32.9,Sense 2
2025-07-14T12:40:00Z,33.0,Sense 2
2025-07-14T12:41:00Z,33.0,Sense 2
2025-07-14T12:42:00Z,33.0,Sense 2
2025-07-14T12:43:00Z,32.8,Sense 2
2025-07-14T12:44:00Z,33.1,Sense 2
2025-07-14T12:45:00Z,33.1,Sense 2
2025-07-14T12:46:00Z,33.1,Sense 2
2025-07-14T12:47:00Z,32.9,Sense 2
2025-07-14T12:48:00Z,33.1,Sense 2
2025-07-14T12:49:00Z,33.2,Sense 2
2025-07-14T12:50:00Z,33.3,Sense 2
2025-07-14T12:51:00Z,33.2,Sense 2
2025-07-14T12:52:00Z,33.0,Sense 2
2025-07-14T12:53:00Z,33.0,Sense 2
2025-07-14T12:54:00Z,33.0,Sense 2
2025-07-14T12:55:00Z,31.7,Sense 2
2025-07-14T12:56:00Z,32.1,Sense 2
2025-07-14T12:57:00Z,32.1,Sense 2
2025-07-14T12:58:00Z,32.6,Sense 2
2025-07-14T12:59:00Z,32.9,Sense 2
2025-07-14T13:00:00Z,32.4,Sense 2
2025-07-14T13:01:00Z,33.0,Sense 2
2025-07-14T13:02:00Z,33.4,Sense 2
2025-07-14T13:03:00Z,33.7,Sense 2
2025-07-14T13:04:00Z,33.8,Sense 2
2025-07-14T13:05:00Z,33.9,Sense 2
2025-07-14T13:06:00Z,34.0,Sense 2
2025-07-14T13:07:00Z,34.0,Sense 2
2025-07-14T13:08:00Z,33.9,Sense 2
2025-07-14T13:09:00Z,33.9,Sense 2
2025-07-14T13:10:00Z,33.8,Sense 2
2025-07-14T13:11:00Z,33.8,Sense 2
2025-07-14T13:12:00Z,34.26,Sense 2
2025-07-14T13:13:00Z,34.24,Sense 2
2025-07-14T13:14:00Z,34.21,Sense 2
2025-07-14T13:15:00Z,34.13,Sense 2
2025-07-14T13:16:00Z,34.09,Sense 2
2025-07-14T13:22:00Z,34.6,Sense 2
2025-07-14T13:23:00Z,34.6,Sense 2
2025-07-14T13:24:00Z,34.5,Sense 2
2025-07-14T13:25:00Z,34.4,Sense 2
2025-07-14T13:26:00Z,34.3,Sense 2
2025-07-14T13:27:00Z,34.1,Sense 2
2025-07-14T13:28:00Z,34.0,Sense 2
2025-07-14T13:29:00Z,33.4,Sense 2
2025-07-14T13:30:00Z,33.8,Sense 2
2025-07-14T13:31:00Z,33.8,Sense 2
2025-07-14T13:32:00Z,33.8,Sense 2
2025-07-14T13:33:00Z,33.6,Sense 2
2025-07-14T13:34:00Z,33.8,Sense 2
2025-07-14T13:35:00Z,33.8,Sense 2
2025-07-14T13:36:00Z,33.7,Sense 2
2025-07-14T13:37:00Z,33.7,Sense 2
2025-07-14T13:38:00Z,33.7,Sense 2
2025-07-14T13:39:00Z,33.7,Sense 2
2025-07-14T13:40:00Z,33.6,Sense 2
