timestamp,average percentage,lower bound percentage,upper bound percentage,baseline percentage,standard deviation percentage,data source
2025-08-02T00:00:00Z,96.4,94.1,98.2,94.6,1.2,Sense 2
2025-08-03T00:00:00Z,93.6,93.4,95.1,94.6,1.2,Sense 2
2025-08-04T00:00:00Z,95.1,92.8,97.6,94.6,1.1,Sense 2
2025-08-06T00:00:00Z,95.6,94.2,96.9,94.7,1.1,Sense 2
2025-08-10T00:00:00Z,91.0,88.3,94.0,94.4,1.4,Sense 2
2025-08-11T00:00:00Z,88.5,86.4,90.9,94.1,2.0,Sense 2
2025-08-12T00:00:00Z,95.3,95.1,95.8,94.1,2.0,Sense 2
2025-08-13T00:00:00Z,93.1,88.1,97.8,94.1,1.9,Sense 2
2025-08-14T00:00:00Z,94.5,91.4,99.8,94.1,1.9,Sense 2
2025-08-15T00:00:00Z,95.6,91.5,98.1,94.2,1.9,Sense 2
2025-08-19T00:00:00Z,93.5,92.5,95.8,94.1,1.8,Sense 2
2025-08-20T00:00:00Z,92.8,86.8,97.8,94.1,1.8,Sense 2
2025-08-21T00:00:00Z,94.6,92.3,98.4,94.1,1.8,Sense 2
2025-08-22T00:00:00Z,93.7,88.8,100.0,94.1,1.7,Sense 2
2025-08-23T00:00:00Z,95.4,93.8,97.8,94.1,1.7,Sense 2
2025-08-24T00:00:00Z,95.2,92.7,97.9,94.2,1.7,Sense 2
2025-08-27T00:00:00Z,97.3,96.0,100.0,94.3,1.8,Sense 2
2025-08-28T00:00:00Z,94.1,94.1,94.1,94.3,1.7,Sense 2
