timestamp,distance,data source
2025-07-14T12:51:00Z,29.20,Sense 2
2025-07-14T12:53:00Z,4.90,Sense 2
2025-07-14T13:36:00Z,6.40,Sense 2
2025-07-14T13:37:00Z,7.80,Sense 2
2025-07-14T13:46:00Z,5.00,Sense 2
2025-07-14T21:36:00Z,6.40,Sense 2
2025-07-14T22:23:00Z,6.40,Sense 2
2025-07-14T22:24:00Z,2.80,Sense 2
2025-07-14T22:25:00Z,4.20,Sense 2
2025-07-14T22:27:00Z,5.70,Sense 2
2025-07-14T22:31:00Z,21.40,Sense 2
2025-07-14T22:32:00Z,17.80,Sense 2
2025-07-14T22:33:00Z,15.70,Sense 2
2025-07-14T22:35:00Z,8.50,Sense 2
2025-07-14T22:36:00Z,6.40,Sense 2
2025-07-14T22:37:00Z,4.90,Sense 2
2025-07-14T22:42:00Z,13.50,Sense 2
2025-07-14T22:44:00Z,7.80,Sense 2
2025-07-14T22:46:00Z,19.90,Sense 2
2025-07-14T22:47:00Z,6.40,Sense 2
2025-07-14T22:48:00Z,6.40,Sense 2
2025-07-14T22:52:00Z,7.80,Sense 2
2025-07-14T22:53:00Z,14.90,Sense 2
2025-07-14T22:54:00Z,16.40,Sense 2
2025-07-14T22:56:00Z,9.20,Sense 2
2025-07-14T23:00:00Z,4.90,Sense 2
2025-07-14T23:01:00Z,7.10,Sense 2
2025-07-14T23:04:00Z,10.60,Sense 2
2025-07-14T23:06:00Z,11.40,Sense 2
2025-07-14T23:07:00Z,22.10,Sense 2
2025-07-14T23:08:00Z,7.10,Sense 2
2025-07-14T23:09:00Z,8.50,Sense 2
2025-07-14T23:13:00Z,12.80,Sense 2
2025-07-14T23:15:00Z,13.50,Sense 2
2025-07-14T23:16:00Z,17.80,Sense 2
2025-07-14T23:17:00Z,5.70,Sense 2
2025-07-14T23:18:00Z,8.50,Sense 2
2025-07-14T23:19:00Z,23.50,Sense 2
2025-07-14T23:24:00Z,8.50,Sense 2
2025-07-14T23:25:00Z,12.80,Sense 2
2025-07-14T23:30:00Z,7.10,Sense 2
2025-07-14T23:33:00Z,18.50,Sense 2
2025-07-14T23:34:00Z,14.90,Sense 2
2025-07-14T23:39:00Z,7.80,Sense 2
2025-07-14T23:40:00Z,5.70,Sense 2
2025-07-14T23:42:00Z,22.80,Sense 2
2025-07-14T23:47:00Z,17.10,Sense 2
2025-07-14T23:49:00Z,4.90,Sense 2
2025-07-14T23:51:00Z,10.70,Sense 2
2025-07-14T23:52:00Z,7.10,Sense 2
2025-07-14T23:53:00Z,5.70,Sense 2
2025-07-14T23:55:00Z,6.40,Sense 2
2025-07-14T23:57:00Z,14.90,Sense 2
2025-07-15T00:02:00Z,5.70,Sense 2
2025-07-15T00:05:00Z,17.80,Sense 2
2025-07-15T00:06:00Z,13.50,Sense 2
2025-07-15T00:09:00Z,5.00,Sense 2
2025-07-15T00:11:00Z,26.40,Sense 2
2025-07-15T00:12:00Z,8.50,Sense 2
2025-07-15T00:14:00Z,8.50,Sense 2
2025-07-15T00:15:00Z,4.90,Sense 2
2025-07-15T00:17:00Z,17.10,Sense 2
2025-07-15T00:18:00Z,10.60,Sense 2
2025-07-15T00:20:00Z,7.80,Sense 2
2025-07-15T00:21:00Z,11.40,Sense 2
2025-07-15T00:22:00Z,5.70,Sense 2
2025-07-15T00:24:00Z,8.50,Sense 2
2025-07-15T00:25:00Z,6.40,Sense 2
2025-07-15T00:26:00Z,19.90,Sense 2
2025-07-15T00:28:00Z,9.90,Sense 2
2025-07-15T00:29:00Z,11.40,Sense 2
2025-07-15T00:30:00Z,4.20,Sense 2
2025-07-15T00:32:00Z,17.80,Sense 2
2025-07-15T00:33:00Z,4.20,Sense 2
2025-07-15T00:34:00Z,5.00,Sense 2
2025-07-15T00:35:00Z,11.40,Sense 2
2025-07-15T00:36:00Z,5.70,Sense 2
2025-07-15T00:38:00Z,7.80,Sense 2
2025-07-15T00:41:00Z,10.60,Sense 2
2025-07-15T00:42:00Z,5.70,Sense 2
2025-07-15T00:43:00Z,5.00,Sense 2
2025-07-15T00:44:00Z,7.10,Sense 2
2025-07-15T00:45:00Z,7.80,Sense 2
