timestamp,steps,distance millimeters,altitude gain millimeters,data source
2025-07-26T02:38:17Z,1,0,0,Sense 2
2025-07-26T02:38:18Z,2,0,-609,Sense 2
2025-07-26T02:38:19Z,1,150,609,Sense 2
2025-07-26T02:38:20Z,1,210,-609,Sense 2
2025-07-26T02:38:21Z,1,300,304,Sense 2
2025-07-26T02:38:22Z,0,360,-609,Sense 2
2025-07-26T02:38:23Z,0,350,914,Sense 2
2025-07-26T02:38:24Z,0,0,-609,Sense 2
2025-07-26T02:38:25Z,0,0,304,Sense 2
2025-07-26T02:38:26Z,0,0,304,Sense 2
2025-07-26T02:38:27Z,0,0,-609,Sense 2
2025-07-26T02:38:28Z,0,0,304,Sense 2
2025-07-26T02:38:29Z,0,0,-304,Sense 2
2025-07-26T02:38:30Z,0,0,609,Sense 2
2025-07-26T02:38:31Z,0,0,-304,Sense 2
2025-07-26T02:38:32Z,0,0,0,Sense 2
2025-07-26T02:38:33Z,0,0,609,Sense 2
2025-07-26T02:38:34Z,0,0,-304,Sense 2
2025-07-26T02:38:35Z,0,0,0,Sense 2
2025-07-26T02:38:36Z,0,0,304,Sense 2
2025-07-26T02:38:37Z,0,0,-304,Sense 2
2025-07-26T02:38:38Z,0,0,-304,Sense 2
2025-07-26T02:38:39Z,0,0,304,Sense 2
2025-07-26T02:38:40Z,0,0,304,Sense 2
2025-07-26T02:38:41Z,0,0,-609,Sense 2
2025-07-26T02:38:42Z,0,0,304,Sense 2
2025-07-26T02:38:43Z,0,0,-304,Sense 2
2025-07-26T02:38:44Z,0,0,304,Sense 2
2025-07-26T02:38:45Z,0,0,-304,Sense 2
2025-07-26T02:38:46Z,0,0,0,Sense 2
2025-07-26T02:38:47Z,0,0,304,Sense 2
2025-07-26T02:38:48Z,0,0,-304,Sense 2
2025-07-26T02:38:49Z,0,0,609,Sense 2
2025-07-26T02:38:50Z,0,0,-609,Sense 2
2025-07-26T02:38:51Z,0,0,0,Sense 2
2025-07-26T02:38:52Z,0,0,0,Sense 2
2025-07-26T02:38:53Z,0,0,0,Sense 2
2025-07-26T02:38:54Z,0,0,304,Sense 2
2025-07-26T02:38:55Z,0,0,0,Sense 2
2025-07-26T02:38:56Z,0,0,-914,Sense 2
2025-07-26T02:38:57Z,0,0,609,Sense 2
2025-07-26T02:38:58Z,0,0,304,Sense 2
2025-07-26T02:38:59Z,0,0,-304,Sense 2
2025-07-26T02:39:00Z,0,0,-914,Sense 2
2025-07-26T02:39:01Z,0,0,304,Sense 2
2025-07-26T02:39:02Z,0,0,304,Sense 2
2025-07-26T02:39:03Z,0,0,609,Sense 2
2025-07-26T02:39:04Z,0,0,-304,Sense 2
2025-07-26T02:39:05Z,0,0,0,Sense 2
2025-07-26T02:39:06Z,0,0,304,Sense 2
2025-07-26T02:39:07Z,0,0,0,Sense 2
2025-07-26T02:39:08Z,0,0,-304,Sense 2
2025-07-26T02:39:09Z,0,0,0,Sense 2
2025-07-26T02:39:10Z,0,0,304,Sense 2
2025-07-26T02:39:11Z,0,0,0,Sense 2
2025-07-26T02:39:12Z,0,0,-304,Sense 2
2025-07-26T02:39:13Z,0,0,304,Sense 2
2025-07-26T02:39:14Z,0,0,0,Sense 2
2025-07-26T02:39:15Z,0,0,0,Sense 2
2025-07-26T02:39:16Z,0,0,0,Sense 2
2025-07-26T02:39:17Z,0,0,-304,Sense 2
2025-07-26T02:39:18Z,0,0,0,Sense 2
2025-07-26T02:39:19Z,0,0,609,Sense 2
2025-07-26T02:39:20Z,0,0,-609,Sense 2
2025-07-26T02:39:21Z,0,0,304,Sense 2
2025-07-26T02:39:22Z,0,0,0,Sense 2
2025-07-26T02:39:23Z,0,0,-304,Sense 2
2025-07-26T02:39:24Z,0,0,609,Sense 2
2025-07-26T02:39:25Z,0,0,-304,Sense 2
2025-07-26T02:39:26Z,0,0,-304,Sense 2
2025-07-26T02:39:27Z,0,0,304,Sense 2
2025-07-26T02:39:28Z,0,0,304,Sense 2
2025-07-26T02:39:29Z,0,0,-609,Sense 2
2025-07-26T02:39:30Z,0,0,0,Sense 2
2025-07-26T02:39:31Z,0,0,0,Sense 2
2025-07-26T02:39:32Z,0,0,304,Sense 2
2025-07-26T02:39:33Z,0,0,-304,Sense 2
2025-07-26T02:39:34Z,0,0,0,Sense 2
2025-07-26T02:39:35Z,0,0,0,Sense 2
2025-07-26T02:39:36Z,1,0,0,Sense 2
2025-07-26T02:39:37Z,1,0,0,Sense 2
2025-07-26T02:39:38Z,2,0,-609,Sense 2
2025-07-26T02:39:39Z,2,0,609,Sense 2
2025-07-26T02:39:40Z,1,0,-304,Sense 2
2025-07-26T02:39:41Z,2,0,-304,Sense 2
2025-07-26T02:39:42Z,2,0,609,Sense 2
2025-07-26T02:39:43Z,2,0,609,Sense 2
2025-07-26T02:39:44Z,1,0,0,Sense 2
2025-07-26T02:39:45Z,2,0,304,Sense 2
2025-07-26T02:39:46Z,2,130,0,Sense 2
2025-07-26T02:39:47Z,1,270,-304,Sense 2
2025-07-26T02:39:48Z,1,400,0,Sense 2
2025-07-26T02:39:49Z,2,570,304,Sense 2
2025-07-26T02:39:50Z,1,730,-304,Sense 2
2025-07-26T02:39:51Z,1,750,304,Sense 2
2025-07-26T02:39:52Z,1,770,0,Sense 2
2025-07-26T02:39:53Z,1,770,0,Sense 2
2025-07-26T02:39:54Z,2,790,-304,Sense 2
2025-07-26T02:39:55Z,0,760,0,Sense 2
2025-07-26T02:39:56Z,1,730,0,Sense 2
2025-07-26T02:39:57Z,1,720,304,Sense 2
2025-07-26T02:39:58Z,2,740,-304,Sense 2
2025-07-26T02:39:59Z,1,730,0,Sense 2
2025-07-26T02:40:00Z,2,780,304,Sense 2
2025-07-26T02:40:01Z,1,820,0,Sense 2
2025-07-26T02:40:02Z,1,850,-304,Sense 2
2025-07-26T02:40:03Z,2,930,304,Sense 2
2025-07-26T02:40:04Z,1,930,-304,Sense 2
2025-07-26T02:40:05Z,0,930,304,Sense 2
2025-07-26T02:40:06Z,1,930,-609,Sense 2
2025-07-26T02:40:07Z,0,930,304,Sense 2
2025-07-26T02:40:08Z,0,0,0,Sense 2
2025-07-26T02:40:09Z,0,0,0,Sense 2
2025-07-26T02:40:10Z,0,0,0,Sense 2
2025-07-26T02:40:11Z,0,0,0,Sense 2
2025-07-26T02:40:12Z,0,0,609,Sense 2
2025-07-26T02:40:13Z,0,0,0,Sense 2
2025-07-26T02:40:14Z,0,0,-609,Sense 2
2025-07-26T02:40:15Z,0,0,609,Sense 2
2025-07-26T02:40:16Z,0,0,-609,Sense 2
2025-07-26T02:40:17Z,0,0,0,Sense 2
2025-07-26T02:40:18Z,0,0,0,Sense 2
2025-07-26T02:40:19Z,0,0,0,Sense 2
2025-07-26T02:40:20Z,0,0,-304,Sense 2
2025-07-26T02:40:21Z,0,0,609,Sense 2
2025-07-26T02:40:22Z,0,0,0,Sense 2
2025-07-26T02:40:23Z,0,0,-304,Sense 2
2025-07-26T02:40:24Z,0,0,0,Sense 2
2025-07-26T02:40:25Z,0,0,304,Sense 2
2025-07-26T02:40:26Z,0,0,0,Sense 2
2025-07-26T02:40:27Z,0,0,304,Sense 2
2025-07-26T02:40:28Z,0,0,0,Sense 2
2025-07-26T02:40:29Z,0,0,-609,Sense 2
2025-07-26T02:40:30Z,0,0,609,Sense 2
2025-07-26T02:40:31Z,0,0,-609,Sense 2
2025-07-26T02:40:32Z,0,0,0,Sense 2
2025-07-26T02:40:33Z,0,0,304,Sense 2
2025-07-26T02:40:34Z,0,0,-304,Sense 2
2025-07-26T02:40:35Z,0,0,0,Sense 2
2025-07-26T02:40:36Z,0,0,609,Sense 2
2025-07-26T02:40:37Z,0,0,-609,Sense 2
2025-07-26T02:40:38Z,0,0,0,Sense 2
2025-07-26T02:40:39Z,0,0,609,Sense 2
2025-07-26T02:40:40Z,0,0,-609,Sense 2
2025-07-26T02:40:41Z,0,0,0,Sense 2
2025-07-26T02:40:42Z,0,0,0,Sense 2
2025-07-26T02:40:43Z,0,0,609,Sense 2
2025-07-26T02:40:44Z,0,0,-609,Sense 2
2025-07-26T02:40:45Z,0,0,0,Sense 2
2025-07-26T02:40:46Z,0,0,609,Sense 2
2025-07-26T02:40:47Z,0,0,-304,Sense 2
2025-07-26T02:40:48Z,0,0,-609,Sense 2
2025-07-26T02:40:49Z,0,0,304,Sense 2
2025-07-26T02:40:50Z,0,0,304,Sense 2
2025-07-26T02:40:51Z,0,0,-304,Sense 2
2025-07-26T02:40:52Z,0,0,0,Sense 2
2025-07-26T02:40:53Z,0,0,0,Sense 2
2025-07-26T02:40:54Z,0,0,0,Sense 2
2025-07-26T02:40:55Z,0,0,0,Sense 2
2025-07-26T02:40:56Z,0,0,0,Sense 2
2025-07-26T02:40:57Z,0,0,0,Sense 2
2025-07-26T02:40:58Z,0,0,0,Sense 2
2025-07-26T02:40:59Z,0,0,0,Sense 2
2025-07-26T02:41:00Z,0,0,0,Sense 2
2025-07-26T02:41:01Z,0,0,609,Sense 2
2025-07-26T02:41:02Z,0,0,-609,Sense 2
2025-07-26T02:41:03Z,0,0,304,Sense 2
2025-07-26T02:41:04Z,0,0,-304,Sense 2
2025-07-26T02:41:05Z,0,0,0,Sense 2
2025-07-26T02:41:06Z,0,0,0,Sense 2
2025-07-26T02:41:07Z,0,0,609,Sense 2
2025-07-26T02:41:08Z,0,0,0,Sense 2
2025-07-26T02:41:09Z,0,0,0,Sense 2
2025-07-26T02:41:10Z,0,0,-609,Sense 2
2025-07-26T02:41:11Z,0,0,304,Sense 2
2025-07-26T02:41:12Z,0,0,-304,Sense 2
2025-07-26T02:41:13Z,0,0,0,Sense 2
2025-07-26T02:41:14Z,0,0,-304,Sense 2
2025-07-26T02:41:15Z,0,0,304,Sense 2
2025-07-26T02:41:16Z,0,0,304,Sense 2
2025-07-26T02:41:17Z,0,0,-304,Sense 2
2025-07-26T02:41:18Z,0,0,0,Sense 2
2025-07-26T02:41:19Z,0,0,304,Sense 2
2025-07-26T02:41:20Z,0,0,0,Sense 2
2025-07-26T02:41:21Z,0,0,0,Sense 2
2025-07-26T02:41:22Z,0,0,0,Sense 2
2025-07-26T02:41:23Z,0,0,0,Sense 2
2025-07-26T02:41:24Z,2,0,0,Sense 2
2025-07-26T02:41:25Z,2,0,0,Sense 2
2025-07-26T02:41:26Z,0,0,0,Sense 2
2025-07-26T02:41:27Z,0,0,-304,Sense 2
2025-07-26T02:41:28Z,0,0,0,Sense 2
2025-07-26T02:41:29Z,0,0,-304,Sense 2
2025-07-26T02:41:30Z,0,0,609,Sense 2
2025-07-26T02:41:31Z,0,0,-609,Sense 2
2025-07-26T02:41:32Z,0,0,609,Sense 2
2025-07-26T02:41:33Z,0,0,-304,Sense 2
2025-07-26T02:41:34Z,0,0,304,Sense 2
2025-07-26T02:41:35Z,0,0,-914,Sense 2
2025-07-26T02:41:36Z,0,0,0,Sense 2
2025-07-26T02:41:37Z,0,0,0,Sense 2
2025-07-26T02:41:38Z,0,0,609,Sense 2
2025-07-26T02:41:39Z,0,0,0,Sense 2
2025-07-26T02:41:40Z,0,0,0,Sense 2
2025-07-26T02:41:41Z,0,0,-609,Sense 2
2025-07-26T02:41:42Z,0,0,0,Sense 2
2025-07-26T02:41:43Z,0,0,0,Sense 2
2025-07-26T02:41:44Z,0,0,0,Sense 2
2025-07-26T02:41:45Z,0,0,0,Sense 2
2025-07-26T02:41:46Z,0,0,304,Sense 2
2025-07-26T02:41:47Z,0,0,-304,Sense 2
2025-07-26T02:41:48Z,0,0,304,Sense 2
2025-07-26T02:41:49Z,0,0,304,Sense 2
2025-07-26T02:41:50Z,0,0,0,Sense 2
2025-07-26T02:41:51Z,0,0,-304,Sense 2
2025-07-26T02:41:52Z,0,0,304,Sense 2
2025-07-26T02:41:53Z,0,0,0,Sense 2
