start time,end time,data source
2025-08-11T00:12:00Z,2025-08-11T00:37:00Z,Fitbit App
2025-08-11T00:56:00Z,2025-08-11T01:34:00Z,Fitbit App
2025-08-11T01:37:00Z,2025-08-11T02:46:00Z,Fitbit App
2025-08-11T02:47:00Z,2025-08-11T05:40:00Z,Fitbit App
2025-08-11T05:46:00Z,2025-08-11T06:26:00Z,Fitbit App
2025-08-11T06:45:00Z,2025-08-11T08:13:00Z,Fitbit App
2025-08-11T08:28:00Z,2025-08-11T09:12:00Z,Fitbit App
2025-08-11T09:13:00Z,2025-08-11T09:46:00Z,Fitbit App
2025-08-11T09:47:00Z,2025-08-11T10:03:00Z,Fitbit App
2025-08-11T10:12:00Z,2025-08-11T10:25:00Z,Fitbit App
2025-08-11T10:27:00Z,2025-08-11T15:03:00Z,Fitbit App
2025-08-11T22:46:00Z,2025-08-12T00:27:00Z,Fitbit App
