timestamp,steps,data source
2025-08-01T11:51:00Z,11,Sense 2
2025-08-01T12:02:00Z,8,Sense 2
2025-08-01T12:09:00Z,19,Sense 2
2025-08-01T12:10:00Z,7,Sense 2
2025-08-01T12:16:00Z,9,Sense 2
2025-08-01T12:52:00Z,12,Sense 2
2025-08-01T13:21:00Z,10,Sense 2
2025-08-01T13:52:00Z,9,Sense 2
2025-08-01T13:58:00Z,49,Sense 2
2025-08-01T14:01:00Z,9,Sense 2
2025-08-01T14:02:00Z,16,Sense 2
2025-08-01T14:04:00Z,7,Sense 2
2025-08-01T14:05:00Z,13,Sense 2
2025-08-01T14:06:00Z,81,Sense 2
2025-08-01T14:07:00Z,85,Sense 2
2025-08-01T14:08:00Z,103,Sense 2
2025-08-01T14:09:00Z,56,Sense 2
2025-08-01T14:10:00Z,69,Sense 2
2025-08-01T14:11:00Z,62,Sense 2
2025-08-01T14:12:00Z,33,Sense 2
2025-08-01T14:13:00Z,41,Sense 2
2025-08-01T14:14:00Z,26,Sense 2
2025-08-01T14:15:00Z,31,Sense 2
2025-08-01T14:16:00Z,16,Sense 2
2025-08-01T15:02:00Z,6,Sense 2
2025-08-01T15:05:00Z,16,Sense 2
2025-08-01T15:07:00Z,6,Sense 2
2025-08-01T15:08:00Z,24,Sense 2
2025-08-01T15:09:00Z,37,Sense 2
2025-08-01T15:12:00Z,17,Sense 2
2025-08-01T15:14:00Z,6,Sense 2
2025-08-01T15:17:00Z,14,Sense 2
2025-08-01T15:19:00Z,15,Sense 2
2025-08-01T15:20:00Z,24,Sense 2
2025-08-01T15:22:00Z,10,Sense 2
2025-08-01T15:25:00Z,19,Sense 2
2025-08-01T15:27:00Z,23,Sense 2
2025-08-01T15:28:00Z,15,Sense 2
2025-08-01T15:29:00Z,9,Sense 2
2025-08-01T15:30:00Z,18,Sense 2
2025-08-01T15:31:00Z,39,Sense 2
2025-08-01T15:32:00Z,36,Sense 2
2025-08-01T15:33:00Z,22,Sense 2
2025-08-01T15:34:00Z,22,Sense 2
2025-08-01T15:36:00Z,27,Sense 2
2025-08-01T15:37:00Z,10,Sense 2
2025-08-01T15:38:00Z,9,Sense 2
2025-08-01T15:44:00Z,8,Sense 2
2025-08-01T15:45:00Z,15,Sense 2
2025-08-01T15:46:00Z,11,Sense 2
2025-08-01T15:48:00Z,36,Sense 2
2025-08-01T15:49:00Z,62,Sense 2
2025-08-01T15:50:00Z,70,Sense 2
2025-08-01T15:51:00Z,74,Sense 2
2025-08-01T15:52:00Z,88,Sense 2
2025-08-01T15:53:00Z,75,Sense 2
2025-08-01T15:54:00Z,33,Sense 2
2025-08-01T15:55:00Z,86,Sense 2
2025-08-01T15:56:00Z,78,Sense 2
2025-08-01T15:57:00Z,14,Sense 2
2025-08-01T16:04:00Z,14,Sense 2
2025-08-01T16:07:00Z,14,Sense 2
2025-08-01T16:09:00Z,12,Sense 2
2025-08-01T16:11:00Z,12,Sense 2
2025-08-01T16:19:00Z,12,Sense 2
2025-08-01T16:29:00Z,13,Sense 2
2025-08-01T16:31:00Z,8,Sense 2
2025-08-01T16:32:00Z,10,Sense 2
2025-08-01T16:33:00Z,9,Sense 2
2025-08-01T16:34:00Z,21,Sense 2
2025-08-01T16:35:00Z,46,Sense 2
2025-08-01T16:36:00Z,58,Sense 2
2025-08-01T16:37:00Z,66,Sense 2
2025-08-01T16:38:00Z,36,Sense 2
2025-08-01T16:39:00Z,35,Sense 2
2025-08-01T16:40:00Z,26,Sense 2
2025-08-01T16:41:00Z,24,Sense 2
2025-08-01T16:45:00Z,9,Sense 2
2025-08-01T16:46:00Z,23,Sense 2
2025-08-01T17:08:00Z,12,Sense 2
2025-08-01T17:41:00Z,8,Sense 2
2025-08-01T17:43:00Z,7,Sense 2
2025-08-01T17:45:00Z,9,Sense 2
2025-08-01T17:46:00Z,26,Sense 2
2025-08-01T17:59:00Z,4,Sense 2
2025-08-01T18:01:00Z,19,Sense 2
2025-08-01T18:02:00Z,12,Sense 2
2025-08-02T00:23:00Z,15,Sense 2
2025-08-02T00:48:00Z,7,Sense 2
2025-08-02T00:51:00Z,14,Sense 2
2025-08-02T00:52:00Z,5,Sense 2
2025-08-02T00:55:00Z,14,Sense 2
2025-08-02T00:58:00Z,6,Sense 2
2025-08-02T01:24:00Z,11,Sense 2
2025-08-02T01:47:00Z,12,Sense 2
2025-08-02T01:48:00Z,14,Sense 2
2025-08-02T01:51:00Z,8,Sense 2
2025-08-02T02:03:00Z,8,Sense 2
2025-08-02T02:04:00Z,10,Sense 2
2025-08-02T02:24:00Z,6,Sense 2
2025-08-02T02:27:00Z,19,Sense 2
2025-08-02T02:28:00Z,9,Sense 2
2025-08-02T02:29:00Z,24,Sense 2
2025-08-02T02:32:00Z,19,Sense 2
2025-08-02T02:33:00Z,24,Sense 2
2025-08-02T02:34:00Z,36,Sense 2
2025-08-02T02:43:00Z,11,Sense 2
2025-08-02T02:46:00Z,17,Sense 2
2025-08-02T02:49:00Z,15,Sense 2
2025-08-02T02:50:00Z,58,Sense 2
2025-08-02T02:51:00Z,19,Sense 2
2025-08-02T02:52:00Z,7,Sense 2
2025-08-02T02:53:00Z,19,Sense 2
2025-08-02T02:54:00Z,18,Sense 2
2025-08-02T02:55:00Z,15,Sense 2
2025-08-02T02:56:00Z,5,Sense 2
2025-08-02T02:57:00Z,25,Sense 2
2025-08-02T03:00:00Z,14,Sense 2
2025-08-02T03:09:00Z,6,Sense 2
2025-08-02T03:10:00Z,12,Sense 2
2025-08-02T03:11:00Z,21,Sense 2
2025-08-02T03:13:00Z,4,Sense 2
2025-08-02T03:14:00Z,7,Sense 2
2025-08-02T03:15:00Z,4,Sense 2
2025-08-02T03:16:00Z,13,Sense 2
2025-08-02T03:17:00Z,13,Sense 2
2025-08-02T03:18:00Z,8,Sense 2
2025-08-02T03:22:00Z,18,Sense 2
2025-08-02T03:25:00Z,23,Sense 2
2025-08-02T03:26:00Z,34,Sense 2
2025-08-02T03:28:00Z,6,Sense 2
2025-08-02T03:29:00Z,15,Sense 2
2025-08-02T03:30:00Z,9,Sense 2
2025-08-02T03:33:00Z,21,Sense 2
2025-08-02T03:34:00Z,39,Sense 2
2025-08-02T03:35:00Z,49,Sense 2
2025-08-02T03:36:00Z,5,Sense 2
2025-08-02T03:40:00Z,10,Sense 2
2025-08-02T03:41:00Z,9,Sense 2
2025-08-02T03:45:00Z,17,Sense 2
2025-08-02T03:51:00Z,24,Sense 2
2025-08-02T03:52:00Z,7,Sense 2
2025-08-02T03:53:00Z,11,Sense 2
2025-08-02T03:55:00Z,7,Sense 2
2025-08-02T03:57:00Z,8,Sense 2
2025-08-02T04:05:00Z,7,Sense 2
2025-08-02T04:07:00Z,11,Sense 2
2025-08-02T04:11:00Z,15,Sense 2
2025-08-02T04:12:00Z,24,Sense 2
2025-08-02T04:13:00Z,10,Sense 2
2025-08-02T04:16:00Z,38,Sense 2
2025-08-02T04:28:00Z,17,Sense 2
2025-08-02T04:36:00Z,4,Sense 2
2025-08-02T04:38:00Z,8,Sense 2
2025-08-02T04:40:00Z,12,Sense 2
2025-08-02T04:41:00Z,7,Sense 2
2025-08-02T04:42:00Z,38,Sense 2
2025-08-02T04:57:00Z,7,Sense 2
2025-08-02T05:18:00Z,20,Sense 2
2025-08-02T05:24:00Z,16,Sense 2
2025-08-02T05:25:00Z,42,Sense 2
2025-08-02T05:27:00Z,25,Sense 2
2025-08-02T05:28:00Z,14,Sense 2
2025-08-02T05:29:00Z,6,Sense 2
2025-08-02T05:30:00Z,10,Sense 2
2025-08-02T05:34:00Z,31,Sense 2
2025-08-02T05:35:00Z,6,Sense 2
2025-08-02T05:36:00Z,20,Sense 2
2025-08-02T05:49:00Z,7,Sense 2
2025-08-02T05:50:00Z,3,Sense 2
2025-08-02T05:51:00Z,20,Sense 2
2025-08-02T05:52:00Z,33,Sense 2
2025-08-02T06:01:00Z,39,Sense 2
2025-08-02T06:02:00Z,24,Sense 2
2025-08-02T06:03:00Z,35,Sense 2
2025-08-02T06:05:00Z,15,Sense 2
2025-08-02T06:06:00Z,22,Sense 2
2025-08-02T06:15:00Z,29,Sense 2
2025-08-02T06:16:00Z,22,Sense 2
2025-08-02T06:17:00Z,9,Sense 2
2025-08-02T06:19:00Z,18,Sense 2
2025-08-02T06:22:00Z,7,Sense 2
